decision,reason,note,year,type,publisher,doi,title
excl_dup,"duplicate report of UWB-LLM, indexed twice under near-identical titles",,2026,article,,,UWB-LLM: ultra-wideband radar multi-tasking learning based on large language model
excl_dup,duplicate report of an already-included system (matches 'sarragatrvisualquestionanswering...'),,2026,preprint,Cornell University,,"SAR-RAG: ATR Visual Question Answering by Semantic Search, Retrieval, and MLLM Generation"
excl_dup,duplicate report of an already-included system (matches 'teachingfoundationmodelstoreadmm...'),,2026,preprint,Cornell University,10.48550/arxiv.2608.04127,Teaching Foundation Models to Read mmWave: Pose-Guided Kinematic Representation for Human Behavior Understanding
excl_dup,duplicate report of an already-included system (matches 'ragentphysicsawareagenticreasoni...'),,2026,preprint,Cornell University,,RAGent: Physics-Aware Agentic Reasoning for Training-Free mmWave Human Activity Recognition
excl_dup,duplicate report of an already-included system (matches 'weatherrobustscenesemanticswithv...'),,2026,preprint,Cornell University,,Weather-Robust Scene Semantics with Vision-Aligned 4D Radar
excl_dup,duplicate report of an already-included system (matches 'predanllmbasedfoundationmultimod...'),,2026,preprint,Cornell University,,"PReD: An LLM-based Foundation Multimodal Model for Electromagnetic Perception, Recognition, and Decision"
excl_dup,pre-marked from Sec. I-A corpus,hu2025marine,2025,conference-paper,,10.1109/igarss55030.2025.11313965,When Marine Radar Target Detection Meets Pretrained Large Language Models
excl_dup,pre-marked from Sec. I-A corpus,hu2025marine,2025,preprint,Cornell University,10.48550/arxiv.2509.12110,When marine radar target detection meets pretrained large language models
excl_dup,duplicate report of an already-included system (matches 'teachinglargelanguagemodelstosee...'),,2025,preprint,Cornell University,,Teaching large language models to see in radar: aspect-distributed prototypes for few-shot HRRP ATR
excl_dup,duplicate report of an already-included system (matches 'teachinglargelanguagemodelstosee...'),,2025,preprint,Cornell University,10.48550/arxiv.2512.06617,Teaching large language models to see in radar: aspect-distributed prototypes for few-shot HRRP ATR
excl_dup,duplicate report of an already-included system (matches 'sarstrikesbackanewhopeforrsvqa...'),,2025,preprint,Cornell University,10.48550/arxiv.2501.08131,SAR Strikes Back: A New Hope for RSVQA
excl_i,(i) no radar-derived measurement in title/abstract,,2026,article,IEEE Computer Society,10.1109/tmc.2026.3665626,Large Language Model-Based Gray Wolf Optimization for Near-Field ISAC Networks
excl_i,(i) no radar-derived measurement in title/abstract,,2026,article,Institute of Electrical and Electronics Engineers,10.1109/mcom.001.2500411,Recent Advances in Resource Allocation and Beam Prediction for Large Language Models Empowered ISAC Systems
